degradation_mode,severity_fraction,strategy,evaluation_controller,channel,evaluation_cycles,evaluation_samples,quantity,exceedance_count
A_reduction,0.05,DURATION_POOLED_GLOBAL,C07,r_y,6,4800,simulation-based threshold-exceedance sensitivity,6
A_reduction,0.05,DURATION_POOLED_GLOBAL,C07,r_u,6,4800,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_GLOBAL,C07,joint,6,4800,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C07,r_y,6,4800,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C07,r_u,6,4800,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C07,joint,6,4800,simulation-based threshold-exceedance sensitivity,16
A_reduction,0.05,DURATION_POOLED_LOCO,C07,r_y,6,4800,simulation-based threshold-exceedance sensitivity,5
A_reduction,0.05,DURATION_POOLED_LOCO,C07,r_u,6,4800,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_LOCO,C07,joint,6,4800,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C08,r_y,4,3200,simulation-based threshold-exceedance sensitivity,40
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C08,r_u,4,3200,simulation-based threshold-exceedance sensitivity,19
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C08,joint,4,3200,simulation-based threshold-exceedance sensitivity,30
A_reduction,0.05,DURATION_POOLED_GLOBAL,C08,r_y,4,3200,simulation-based threshold-exceedance sensitivity,41
A_reduction,0.05,DURATION_POOLED_GLOBAL,C08,r_u,4,3200,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,DURATION_POOLED_GLOBAL,C08,joint,4,3200,simulation-based threshold-exceedance sensitivity,52
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C08,r_y,4,3200,simulation-based threshold-exceedance sensitivity,50
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C08,r_u,4,3200,simulation-based threshold-exceedance sensitivity,45
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C08,joint,4,3200,simulation-based threshold-exceedance sensitivity,59
A_reduction,0.05,DURATION_POOLED_LOCO,C08,r_y,4,3200,simulation-based threshold-exceedance sensitivity,41
A_reduction,0.05,DURATION_POOLED_LOCO,C08,r_u,4,3200,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,DURATION_POOLED_LOCO,C08,joint,4,3200,simulation-based threshold-exceedance sensitivity,52
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C09,r_y,5,4000,simulation-based threshold-exceedance sensitivity,24
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C09,r_u,5,4000,simulation-based threshold-exceedance sensitivity,41
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C09,joint,5,4000,simulation-based threshold-exceedance sensitivity,52
A_reduction,0.05,DURATION_POOLED_GLOBAL,C09,r_y,5,4000,simulation-based threshold-exceedance sensitivity,5
A_reduction,0.05,DURATION_POOLED_GLOBAL,C09,r_u,5,4000,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_GLOBAL,C09,joint,5,4000,simulation-based threshold-exceedance sensitivity,14
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C09,r_y,5,4000,simulation-based threshold-exceedance sensitivity,14
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C09,r_u,5,4000,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C09,joint,5,4000,simulation-based threshold-exceedance sensitivity,16
A_reduction,0.05,DURATION_POOLED_LOCO,C09,r_y,5,4000,simulation-based threshold-exceedance sensitivity,5
A_reduction,0.05,DURATION_POOLED_LOCO,C09,r_u,5,4000,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_LOCO,C09,joint,5,4000,simulation-based threshold-exceedance sensitivity,14
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,180
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,236
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,238
A_reduction,0.1,DURATION_POOLED_GLOBAL,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,241
A_reduction,0.1,DURATION_POOLED_GLOBAL,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,322
A_reduction,0.1,DURATION_POOLED_GLOBAL,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,260
A_reduction,0.1,CONTROLLER_BALANCED_GLOBAL,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,270
A_reduction,0.1,CONTROLLER_BALANCED_GLOBAL,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,449
A_reduction,0.1,CONTROLLER_BALANCED_GLOBAL,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,312
A_reduction,0.1,DURATION_POOLED_LOCO,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,252
A_reduction,0.1,DURATION_POOLED_LOCO,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,364
A_reduction,0.1,DURATION_POOLED_LOCO,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,271
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,259
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,288
A_reduction,0.1,SINGLE_CONTROLLER_HELD_OUT,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,363
A_reduction,0.1,DURATION_POOLED_GLOBAL,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,281
A_reduction,0.1,DURATION_POOLED_GLOBAL,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,444
A_reduction,0.1,DURATION_POOLED_GLOBAL,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,364
A_reduction,0.1,CONTROLLER_BALANCED_GLOBAL,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,420
A_reduction,0.1,CONTROLLER_BALANCED_GLOBAL,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,558
