nominal_target_far,source_controller,evaluation_controller,channel,evaluation_samples,exceedance_count
0.05,C04,C02,r_y,17600,1140
0.05,C04,C02,r_u,17600,4623
0.05,C04,C02,joint,17600,967
0.05,C04,C03,r_y,11200,837
0.05,C04,C03,r_u,11200,3642
0.05,C04,C03,joint,11200,506
0.05,C04,C05,r_y,4000,197
0.05,C04,C05,r_u,4000,165
0.05,C04,C05,joint,4000,185
0.05,C04,C06,r_y,4000,195
0.05,C04,C06,r_u,4000,483
0.05,C04,C06,joint,4000,43
0.05,C04,C07,r_y,4800,249
0.05,C04,C07,r_u,4800,22
0.05,C04,C07,joint,4800,482
0.05,C04,C08,r_y,3200,212
0.05,C04,C08,r_u,3200,418
0.05,C04,C08,joint,3200,126
0.05,C04,C09,r_y,4000,191
0.05,C04,C09,r_u,4000,32
0.05,C04,C09,joint,4000,383
